asset_id	priority	asset_type	subject_label	target_kind	target_id	hook_table	hook_key_field	hook_field	current_runtime_path	planned_runtime_path	planned_source_path	current_asset_class	planned_asset_class	runtime_role	prompt_status	source_status	runtime_status	hook_status	import_status	acceptance_status	overall_status	owner_note
chapter2_reed_ambush	P0	battle_background	芦苇伏击	battle_id	chapter2_reed_ambush	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_coast_ambush.png	assets/pixel_battle/backgrounds/battle_bg_chapter2_reed_ambush.png	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter2_reed_ambush.png	shared_runtime	png_formal	shared_existing	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
chapter3_escort_clash	P0	battle_background	押运冲突	battle_id	chapter3_escort_clash	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_chapter3_escort_clash.png	assets/pixel_battle/backgrounds/battle_bg_chapter3_escort_clash.png	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter3_escort_clash.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
chapter4_tide_bandits	P0	battle_background	潮滩截杀	battle_id	chapter4_tide_bandits	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_chapter4_tide_bandits.png	assets/pixel_battle/backgrounds/battle_bg_chapter4_tide_bandits.png	art_reference/final/pixel_battle/backgrounds/battle_bg_chapter4_tide_bandits.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_wakou_leader	P0	battle_background	破船首领	battle_id	boss_ext_wakou_leader	tables/battle_scene_manifest.tsv	id	background	res://assets/pixel_battle/backgrounds/battle_bg_boss_ext_wakou_leader.png	assets/pixel_battle/backgrounds/battle_bg_boss_ext_wakou_leader.png	art_reference/final/pixel_battle/backgrounds/battle_bg_boss_ext_wakou_leader.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
narrative_military_coverup	P0	narrative_background	军门压案	node_id	military_coverup	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_military_coverup.png	assets/pixel_battle/backgrounds/narrative_military_coverup.png	art_reference/final/pixel_battle/backgrounds/narrative_military_coverup.png	png_temp	png_formal	legacy_target	READY	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	NEEDS_SOURCE	
narrative_fishing_village_embers	P0	narrative_background	渔村残火	node_id	ch2_silent_village	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_fishing_village_embers.png	assets/pixel_battle/backgrounds/narrative_fishing_village_embers.png	art_reference/final/pixel_battle/backgrounds/narrative_fishing_village_embers.png	png_temp	png_formal	legacy_target	READY	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	NEEDS_SOURCE	
narrative_transport_officer_aftermath	P0	narrative_background	押运之后	node_id	ch3_escort_aftermath	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_transport_officer_aftermath.png	assets/pixel_battle/backgrounds/narrative_transport_officer_aftermath.png	art_reference/final/pixel_battle/backgrounds/narrative_transport_officer_aftermath.png	png_temp	png_formal	legacy_target	READY	MISSING	READY	WIRED_FINAL	IMPORTED	UNCHECKED	NEEDS_SOURCE	
ch4_hidden_document	P0	narrative_prop	夹层文书	node_id	ch4_hidden_document	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/narrative/props/prop_unsealed_letter.png	assets/narrative/props/prop_ch4_hidden_document.png	art_reference/final/narrative/props/prop_ch4_hidden_document.png	prop_proxy	png_formal	proxy	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch2_sea_route_unusual	P0	narrative_background	海路异动	node_id	ch2_sea_route_unusual	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch2_sea_route_unusual.png	assets/pixel_battle/backgrounds/narrative_ch2_sea_route_unusual.png	art_reference/final/pixel_battle/backgrounds/narrative_ch2_sea_route_unusual.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch2_beach_tracks	P0	narrative_prop	滩涂脚印	node_id	ch2_beach_tracks	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/narrative/props/prop_ch2_beach_tracks.png	assets/narrative/props/prop_ch2_beach_tracks.png	art_reference/final/narrative/props/prop_ch2_beach_tracks.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch2_reed_ambush_aftermath	P0	narrative_background	芦苇伏击战后	node_id	ch2_reed_ambush_aftermath	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch2_reed_ambush_aftermath.png	assets/pixel_battle/backgrounds/narrative_ch2_reed_ambush_aftermath.png	art_reference/final/pixel_battle/backgrounds/narrative_ch2_reed_ambush_aftermath.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch2_night_signal_fire	P0	narrative_background	夜火信号	node_id	ch2_night_signal_fire	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch2_night_signal_fire.png	assets/pixel_battle/backgrounds/narrative_ch2_night_signal_fire.png	art_reference/final/pixel_battle/backgrounds/narrative_ch2_night_signal_fire.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch3_firearm_marking	P0	narrative_prop	明制火器刻印	node_id	ch3_firearm_marking	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/relics/relic_ming_firearm.png	assets/narrative/props/prop_ch3_firearm_marking.png	art_reference/final/narrative/props/prop_ch3_firearm_marking.png	relic_proxy	png_formal	proxy	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch3_sealed_crate	P0	narrative_prop	封漆木箱	node_id	ch3_sealed_crate	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/narrative/props/prop_unsealed_letter.png	assets/narrative/props/prop_ch3_sealed_crate.png	art_reference/final/narrative/props/prop_ch3_sealed_crate.png	prop_proxy	png_formal	proxy	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch3_escort_silence	P0	narrative_background	押运无声	node_id	ch3_escort_silence	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/battle_bg_transport_road.png	assets/pixel_battle/backgrounds/narrative_ch3_escort_silence.png	art_reference/final/pixel_battle/backgrounds/narrative_ch3_escort_silence.png	shared_runtime	png_formal	shared_existing	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch3_burned_storehouse	P0	narrative_background	焦黑仓屋	node_id	ch3_burned_storehouse	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch3_burned_storehouse.png	assets/pixel_battle/backgrounds/narrative_ch3_burned_storehouse.png	art_reference/final/pixel_battle/backgrounds/narrative_ch3_burned_storehouse.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch3_official_notice	P0	narrative_background	军门告示	node_id	ch3_official_notice	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_military_messenger.png	assets/pixel_battle/backgrounds/narrative_ch3_official_notice.png	art_reference/final/pixel_battle/backgrounds/narrative_ch3_official_notice.png	shared_runtime	png_formal	shared_existing	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch4_tide_reveals_marks	P0	narrative_background	潮下旧痕	node_id	ch4_tide_reveals_marks	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/battle_bg_black_tide.png	assets/pixel_battle/backgrounds/narrative_ch4_tide_reveals_marks.png	art_reference/final/pixel_battle/backgrounds/narrative_ch4_tide_reveals_marks.png	shared_runtime	png_formal	shared_existing	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch4_old_anchor_chain	P0	narrative_prop	旧锚链	node_id	ch4_old_anchor_chain	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/narrative/props/prop_beach_body_search.png	assets/narrative/props/prop_ch4_old_anchor_chain.png	art_reference/final/narrative/props/prop_ch4_old_anchor_chain.png	prop_proxy	png_formal	proxy	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch4_master_hesitation	P0	narrative_background	师父迟疑	node_id	ch4_master_hesitation	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch4_master_hesitation.png	assets/pixel_battle/backgrounds/narrative_ch4_master_hesitation.png	art_reference/final/pixel_battle/backgrounds/narrative_ch4_master_hesitation.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
ch4_tide_aftermath	P0	narrative_background	潮滩之后	node_id	ch4_tide_aftermath	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_mutiny_camp_aftermath.png	assets/pixel_battle/backgrounds/narrative_ch4_tide_aftermath.png	art_reference/final/pixel_battle/backgrounds/narrative_ch4_tide_aftermath.png	shared_runtime	png_formal	shared_existing	READY	MISSING	MISSING	WIRED_TEMP	MISSING	UNCHECKED	NEEDS_SOURCE	
ch4_master_silence	P0	narrative_background	师父沉默	node_id	ch4_master_silence	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_ch4_master_silence.png	assets/pixel_battle/backgrounds/narrative_ch4_master_silence.png	art_reference/final/pixel_battle/backgrounds/narrative_ch4_master_silence.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_burning_ship_sighting	P0	narrative_background	破船远望	node_id	boss_ext_burning_ship_sighting	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_boss_ext_burning_ship_sighting.png	assets/pixel_battle/backgrounds/narrative_boss_ext_burning_ship_sighting.png	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_burning_ship_sighting.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_hold_full_of_crates	P0	narrative_background	满舱火器箱	node_id	boss_ext_hold_full_of_crates	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_boss_ext_hold_full_of_crates.png	assets/pixel_battle/backgrounds/narrative_boss_ext_hold_full_of_crates.png	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_hold_full_of_crates.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_master_freeze_arrow	P0	narrative_background	师父见箭停手	node_id	boss_ext_master_freeze_arrow	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_boss_ext_master_freeze_arrow.png	assets/pixel_battle/backgrounds/narrative_boss_ext_master_freeze_arrow.png	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_master_freeze_arrow.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_wakou_leader_node	P0	narrative_background	破船首领节点图	node_id	boss_ext_wakou_leader_battle	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_boss_ext_wakou_leader.png	assets/pixel_battle/backgrounds/narrative_boss_ext_wakou_leader.png	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_wakou_leader.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
boss_ext_aftermath_choice	P0	narrative_background	破船战后	node_id	boss_ext_aftermath_choice	tables/narrative_mvp_node_status.tsv	id	visual_path	res://assets/pixel_battle/backgrounds/narrative_boss_ext_aftermath_choice.png	assets/pixel_battle/backgrounds/narrative_boss_ext_aftermath_choice.png	art_reference/final/pixel_battle/backgrounds/narrative_boss_ext_aftermath_choice.png	png_formal	png_formal	final_target	READY	READY	READY	WIRED_FINAL	IMPORTED	UNCHECKED	GODOT_IMPORTED	
