deck_skeleton_id	archetype_id	scope	route_type	battle_type	tier	variant_index	deck_variant_role	weapon_style	expected_player_realm	complexity_level	target_card_count	attack_card_count	guard_card_count	movement_card_count	posture_break_card_count	tempo_card_count	combo_card_count	special_card_count	preferred_distance_min	preferred_distance_max	tactic_role_ratio	required_card_tags	forbidden_card_tags	ai_behavior_hint	reward_pressure_level	source_archetype_id	source_requirement_id	notes
enemy_shield_blademan_advanced	shield_blademan	big_map_normal	common	normal	basic	2	advanced	blademaster	4-8	2	11	3	2	2	1	1	2	0	1	2	guard:40,counter:30,pressure:20,break:10	weapon_blademaster,role_approach,role_counter,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	approach_and_counter	low	shield_blademan	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_shield_blademan_aggressive	shield_blademan	big_map_normal	common	normal	basic	3	aggressive	blademaster	4-8	2	10	4	2	1	1	1	1	0	1	2	guard:40,counter:30,pressure:20,break:10	weapon_blademaster,role_approach,role_counter,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	low	shield_blademan	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_scout_footwork_basic	scout_footwork	big_map_normal	common	normal	advanced	1	basic	footwork	5-8	3	10	2	1	3	1	2	0	1	1	3	footwork:35,pressure:25,control:20,guard:20	weapon_footwork,role_movement,role_tempo,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	circle_then_change_tempo	medium	scout_footwork	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_scout_footwork_advanced	scout_footwork	big_map_normal	common	normal	advanced	2	advanced	footwork	5-8	3	12	2	1	3	1	2	1	1	1	3	footwork:35,pressure:25,control:20,guard:20	weapon_footwork,role_movement,role_tempo,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	circle_then_change_tempo	medium	scout_footwork	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_scout_footwork_aggressive	scout_footwork	big_map_normal	common	normal	advanced	3	aggressive	footwork	5-8	3	11	3	1	3	1	2	0	1	1	3	footwork:35,pressure:25,control:20,guard:20	weapon_footwork,role_movement,role_tempo,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	medium	scout_footwork	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_firearm_runner_basic	firearm_runner	big_map_normal	common	normal	advanced	1	basic	firearm	5-8	3	10	3	1	1	2	2	0	1	3	4	firearm_pressure:40,control:30,guard:20,burst:10	weapon_firearm,role_firearm_pressure,role_tempo,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_without_range_lock	medium	firearm_runner	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_firearm_runner_advanced	firearm_runner	big_map_normal	common	normal	advanced	2	advanced	firearm	5-8	3	12	3	1	2	2	2	0	1	3	4	firearm_pressure:40,control:30,guard:20,burst:10	weapon_firearm,role_firearm_pressure,role_tempo,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_without_range_lock	medium	firearm_runner	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_firearm_runner_aggressive	firearm_runner	big_map_normal	common	normal	advanced	3	aggressive	firearm	5-8	3	11	4	1	1	2	2	0	1	3	4	firearm_pressure:40,control:30,guard:20,burst:10	weapon_firearm,role_firearm_pressure,role_tempo,variant_aggressive	player_only,weapon_mismatch,boss_only,true_boss_only	pressure_until_player_retreats	medium	firearm_runner	big_map_normal	敌人卡组骨架 aggressive 变体；v0.3 只定义角色计数与标签约束。
enemy_hungry_garrison_basic	hungry_garrison	big_map_normal	common	normal	basic	1	basic	mixed	5-8	2	9	3	2	1	2	1	0	0	1	2	pressure:30,break:30,guard:20,control:20	role_mixed_weapon,role_control,role_pressure,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	guard_then_break	low	hungry_garrison	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_hungry_garrison_advanced	hungry_garrison	big_map_normal	common	normal	basic	2	advanced	mixed	5-8	2	11	3	2	2	2	1	1	0	1	2	pressure:30,break:30,guard:20,control:20	role_mixed_weapon,role_control,role_pressure,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	guard_then_break	low	hungry_garrison	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_corrupt_patrolman_basic	corrupt_patrolman	big_map_normal	common	normal	basic	1	basic	official	5-8	2	9	2	2	2	2	1	0	0	1	3	control:30,guard_counter:30,pressure:20,break:20	role_fundamental,role_control,variant_basic	player_only,weapon_mismatch,boss_only,true_boss_only	guard_then_break	low	corrupt_patrolman	big_map_normal	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_corrupt_patrolman_advanced	corrupt_patrolman	big_map_normal	common	normal	basic	2	advanced	official	5-8	2	11	2	2	2	2	1	1	0	1	3	control:30,guard_counter:30,pressure:20,break:20	role_fundamental,role_control,variant_advanced	player_only,weapon_mismatch,boss_only,true_boss_only	guard_then_break	low	corrupt_patrolman	big_map_normal	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_spear_instructor_elite_basic	elite_spear_instructor	big_map_elite	common	elite	elite	1	basic	spearman	7-10	3	12	4	2	2	3	2	0	0	2	3	control:35,break:30,guard:20,pressure:15	weapon_spearman,role_control,role_break,enemy_elite,variant_basic	player_only,weapon_mismatch,true_boss_only	hold_distance_then_thrust	high	elite_spear_instructor	big_map_elite	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_spear_instructor_elite_advanced	elite_spear_instructor	big_map_elite	common	elite	elite	2	advanced	spearman	7-10	3	14	4	2	2	3	2	1	0	2	3	control:35,break:30,guard:20,pressure:15	weapon_spearman,role_control,role_break,enemy_elite,variant_advanced	player_only,weapon_mismatch,true_boss_only	hold_distance_then_thrust	high	elite_spear_instructor	big_map_elite	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_blade_counter_elite_basic	elite_blade_counter	big_map_elite	common	elite	elite	1	basic	blademaster	7-10	4	12	4	3	2	2	2	1	0	1	2	guard_counter:35,pressure:25,burst:20,break:20	weapon_blademaster,role_approach,role_counter,enemy_elite,variant_basic	player_only,weapon_mismatch,true_boss_only	approach_and_counter	high	elite_blade_counter	big_map_elite	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_blade_counter_elite_advanced	elite_blade_counter	big_map_elite	common	elite	elite	2	advanced	blademaster	7-10	4	14	4	3	2	2	2	2	0	1	2	guard_counter:35,pressure:25,burst:20,break:20	weapon_blademaster,role_approach,role_counter,enemy_elite,variant_advanced	player_only,weapon_mismatch,true_boss_only	approach_and_counter	high	elite_blade_counter	big_map_elite	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_dual_blade_raider_elite_basic	elite_dual_blade_raider	big_map_elite	common	elite	elite	1	basic	mixed	7-10	4	12	4	2	2	2	2	1	1	1	2	burst:35,pressure:30,footwork:20,guard:15	role_mixed_weapon,role_control,role_pressure,enemy_elite,variant_basic	player_only,weapon_mismatch,true_boss_only	guard_then_break	high	elite_dual_blade_raider	big_map_elite	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_dual_blade_raider_elite_advanced	elite_dual_blade_raider	big_map_elite	common	elite	elite	2	advanced	mixed	7-10	4	14	4	2	2	2	2	2	1	1	2	burst:35,pressure:30,footwork:20,guard:15	role_mixed_weapon,role_control,role_pressure,enemy_elite,variant_advanced	player_only,weapon_mismatch,true_boss_only	guard_then_break	high	elite_dual_blade_raider	big_map_elite	敌人卡组骨架 advanced 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_firearm_guard_elite_basic	elite_firearm_guard	big_map_elite	common	elite	elite	1	basic	firearm	7-10	3	12	4	2	2	2	3	0	1	3	4	firearm_pressure:40,control:30,guard:20,break:10	weapon_firearm,role_firearm_pressure,role_tempo,enemy_elite,variant_basic	player_only,weapon_mismatch,true_boss_only	pressure_without_range_lock	high	elite_firearm_guard	big_map_elite	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
enemy_elite_military_officer_elite_basic	elite_military_officer	big_map_elite	common	elite	elite	1	basic	official	7-10	4	12	3	3	2	3	2	1	0	1	3	control:30,guard_counter:25,break:25,pressure:20	role_fundamental,role_control,enemy_elite,variant_basic	player_only,weapon_mismatch,true_boss_only	guard_then_break	high	elite_military_officer	big_map_elite	敌人卡组骨架 basic 变体；v0.3 只定义角色计数与标签约束。
boss_normal_boss_old_case_officer_phase_1	normal_boss_old_case_officer	boss_normal	normal	boss	boss	1	phase_1	official	8-9	4	15	4	3	2	3	2	1	1	1	3	control:30,guard_counter:25,break:25,pressure:20	role_fundamental,role_control,boss_only,role_boss_phase,variant_phase_1	player_only,weapon_mismatch,lightness_4_required	boss_phase_pressure	boss	normal_boss_old_case_officer	boss_normal	Boss 阶段卡组骨架；轻功 4 只作为优势，不作为硬门槛，不填具体 card_id。
boss_true_boss_gatekeeper_phase_1	true_boss_gatekeeper	boss_true	true_route	boss	boss	1	phase_1	mixed	9-10	4	16	4	3	2	3	2	2	1	1	3	control:30,break:25,guard_counter:25,pressure:20	role_mixed_weapon,role_control,role_pressure,boss_only,role_boss_phase,variant_phase_1	player_only,weapon_mismatch,lightness_4_required	boss_phase_pressure	boss	true_boss_gatekeeper	boss_true	Boss 阶段卡组骨架；轻功 4 只作为优势，不作为硬门槛，不填具体 card_id。
boss_true_boss_hidden_commander_phase_1	true_boss_hidden_commander	boss_true	true_route	true_boss	boss	1	phase_1	mixed	10	5	17	5	3	3	3	3	2	1	2	4	control:30,pressure:25,break:25,guard_counter:20	role_mixed_weapon,role_control,role_pressure,boss_only,role_boss_phase,true_boss_only,variant_phase_1	player_only,weapon_mismatch,lightness_4_required	boss_phase_pressure	boss	true_boss_hidden_commander	boss_true	Boss 阶段卡组骨架；轻功 4 只作为优势，不作为硬门槛，不填具体 card_id。
boss_true_boss_hidden_commander_phase_2	true_boss_hidden_commander	boss_true	true_route	true_boss	boss	2	phase_2	mixed	10	5	18	5	3	3	4	3	3	1	2	4	control:30,pressure:25,break:25,guard_counter:20	role_mixed_weapon,role_control,role_pressure,boss_only,role_boss_phase,true_boss_only,variant_phase_2	player_only,weapon_mismatch,lightness_4_required	boss_phase_escalation	boss	true_boss_hidden_commander	boss_true	Boss 阶段卡组骨架；轻功 4 只作为优势，不作为硬门槛，不填具体 card_id。
exam_exam_capital_basic_weapon	exam_capital_basic_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	1	exam_standard	official	10	4	14	3	3	2	3	2	1	0	1	2	pressure:25,control:25,guard:25,break:25	role_fundamental,role_control,exam_official,variant_exam_standard	player_only,weapon_mismatch	test_fundamentals	exam	exam_capital_basic_weapon	wuzhuangyuan_exam	武状元考试卡组骨架；重基本功与制度化压力，不填具体 card_id。
exam_exam_capital_footwork	exam_capital_footwork	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	1	exam_standard	footwork	10	4	14	3	2	3	2	2	1	0	1	3	footwork:35,control:25,guard:20,pressure:20	weapon_footwork,role_movement,role_tempo,exam_official,role_fundamental,variant_exam_standard	player_only,weapon_mismatch	test_fundamentals	exam	exam_capital_footwork	wuzhuangyuan_exam	武状元考试卡组骨架；重基本功与制度化压力，不填具体 card_id。
exam_exam_capital_mixed_weapon	exam_capital_mixed_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	1	exam_standard	mixed	10	4	14	3	3	2	3	2	1	0	1	3	control:30,pressure:25,break:25,guard:20	role_mixed_weapon,role_control,role_pressure,exam_official,role_fundamental,variant_exam_standard	player_only,weapon_mismatch	test_fundamentals	exam	exam_capital_mixed_weapon	wuzhuangyuan_exam	武状元考试卡组骨架；重基本功与制度化压力，不填具体 card_id。
exam_exam_capital_duel_chain	exam_capital_duel_chain	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	1	exam_standard	blademaster	10	4	14	4	3	2	2	2	1	0	1	2	guard_counter:30,pressure:30,burst:20,control:20	weapon_blademaster,role_approach,role_counter,exam_official,role_fundamental,variant_exam_standard	player_only,weapon_mismatch	test_fundamentals	exam	exam_capital_duel_chain	wuzhuangyuan_exam	武状元考试卡组骨架；重基本功与制度化压力，不填具体 card_id。
exam_exam_imperial_final_examiner	exam_imperial_final_examiner	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan_exam	exam	1	exam_final	official	10	5	16	4	3	3	3	2	1	1	1	3	control:30,guard_counter:25,break:25,pressure:20	role_fundamental,role_control,exam_official,variant_exam_final	player_only,weapon_mismatch,lightness_4_required	test_fundamentals_then_pressure	exam	exam_imperial_final_examiner	wuzhuangyuan_exam	武状元考试卡组骨架；重基本功与制度化压力，不填具体 card_id。
