narrative_node_id	source_type	source_id	scope	route_type	stage	trigger_stage	node_kind	narrative_role	route_affinity	risk_level	hook_tags	route_gate_tags	old_case_tags	military_merit_tags	clean_reputation_tags	lightness_tags	wuzhuangyuan_tags	expected_player_realm	expected_lightness_level	required_flags	optional_flags	blocked_by_flags	preview_key	result_key	choice_count	choice_profile	effect_profile	should_write_body	body_style	line_budget	source_operation_node_id	source_reward_plan_id	notes
nar_battle_rw_big_map_normal_enemy_corrupt_patrolman_advanced	battle_reward	rw_big_map_normal_enemy_corrupt_patrolman_advanced	big_map_normal	common	big_map	big_map	old_case_clue	clue	common	medium	old_case	old_case_progress	old_case,old_case_progress	none	none	none	none	4-8	1-2	none	none	none	preview.battle.rw_big_map_normal_enemy_corrupt_patrolman_advanced	result.battle.rw_big_map_normal_enemy_corrupt_patrolman_advanced	1	single_continue	clue_progress_mark	false	none	0		rw_big_map_normal_enemy_corrupt_patrolman_advanced	v0.5c battle skeleton from rw_big_map_normal_enemy_corrupt_patrolman_advanced.
nar_battle_rw_big_map_normal_enemy_corrupt_patrolman_basic	battle_reward	rw_big_map_normal_enemy_corrupt_patrolman_basic	big_map_normal	common	big_map	big_map	old_case_clue	clue	common	low	old_case	old_case_progress	old_case,old_case_progress	none	none	none	none	4-8	1-2	none	none	none	preview.battle.rw_big_map_normal_enemy_corrupt_patrolman_basic	result.battle.rw_big_map_normal_enemy_corrupt_patrolman_basic	1	single_continue	clue_progress_mark	false	none	0		rw_big_map_normal_enemy_corrupt_patrolman_basic	v0.5c battle skeleton from rw_big_map_normal_enemy_corrupt_patrolman_basic.
nar_battle_rw_big_map_elite_enemy_elite_military_officer_elite_basic	battle_reward	rw_big_map_elite_enemy_elite_military_officer_elite_basic	big_map_elite	common	big_map	big_map	old_case_clue	clue	mixed	high	old_case,military_gate,wuzhuangyuan_offer,elite_pressure	old_case_progress,high_military_merit,realm_10_candidate,wuzhuangyuan_candidate	old_case,old_case_progress	military_gate,high_military_merit	none	none	wuzhuangyuan_offer,wuzhuangyuan_candidate	7-10	1-2	martial_realm_10,high_military_merit	realm_10_candidate,key_evidence	low_military_merit	preview.battle.rw_big_map_elite_enemy_elite_military_officer_elite_basic	result.battle.rw_big_map_elite_enemy_elite_military_officer_elite_basic	1	single_continue	clue_progress_mark	false	none	0		rw_big_map_elite_enemy_elite_military_officer_elite_basic	v0.5c battle skeleton from rw_big_map_elite_enemy_elite_military_officer_elite_basic.
nar_battle_rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	battle_reward	rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	big_map_elite	common	big_map	big_map	battle_hook	choice	mixed	high	military_gate,wuzhuangyuan_offer,elite_pressure	high_military_merit,realm_10_candidate,wuzhuangyuan_candidate	none	military_gate,high_military_merit	none	none	wuzhuangyuan_offer,wuzhuangyuan_candidate	7-10	1-2	martial_realm_10,high_military_merit	realm_10_candidate	low_military_merit	preview.battle.rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	result.battle.rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	1	single_continue	battle_outcome_mark	false	none	0		rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	v0.5c battle skeleton from rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced.
nar_battle_rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	battle_reward	rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	big_map_elite	common	big_map	big_map	battle_hook	choice	mixed	high	military_gate,wuzhuangyuan_offer,elite_pressure	high_military_merit,realm_10_candidate,wuzhuangyuan_candidate	none	military_gate,high_military_merit	none	none	wuzhuangyuan_offer,wuzhuangyuan_candidate	7-10	1-2	martial_realm_10,high_military_merit	realm_10_candidate	low_military_merit	preview.battle.rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	result.battle.rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	1	single_continue	battle_outcome_mark	false	none	0		rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	v0.5c battle skeleton from rw_big_map_elite_enemy_elite_spear_instructor_elite_basic.
nar_battle_rw_boss_boss_normal_boss_old_case_officer_phase_1	battle_reward	rw_boss_boss_normal_boss_old_case_officer_phase_1	boss_normal	normal	ending_normal	ending_normal	old_case_clue	clue	normal	boss	old_case,military_gate,boss_prepare	old_case_progress,high_military_merit	old_case,old_case_progress	military_gate,high_military_merit	none	none	none	8-9	1-2	none	none	none	preview.battle.rw_boss_boss_normal_boss_old_case_officer_phase_1	result.battle.rw_boss_boss_normal_boss_old_case_officer_phase_1	1	single_continue	clue_progress_mark	false	none	0		rw_boss_boss_normal_boss_old_case_officer_phase_1	v0.5c battle skeleton from rw_boss_boss_normal_boss_old_case_officer_phase_1.
nar_battle_rw_boss_boss_true_boss_gatekeeper_phase_1	battle_reward	rw_boss_boss_true_boss_gatekeeper_phase_1	boss_true	true_route	ending_true	ending_true	ending_hint	ending_bridge	true_route	boss	old_case,military_gate,lightness_encounter,boss_prepare,true_boss_hint	old_case_progress,high_military_merit,realm_10_candidate,true_route_candidate,lightness_cap_3	old_case,old_case_progress,true_route_candidate	military_gate,high_military_merit	clean_reputation_shift	lightness_encounter,lightness_cap_3,cap_3	none	9-10	2-3	old_case_progress,true_route_candidate	realm_9_or_10,realm_10_candidate,clean_reputation_high,lightness_3,key_evidence	old_case_failed	preview.battle.rw_boss_boss_true_boss_gatekeeper_phase_1	result.battle.rw_boss_boss_true_boss_gatekeeper_phase_1	2	short_choice	ending_bridge_mark	false	none	0		rw_boss_boss_true_boss_gatekeeper_phase_1	v0.5c battle skeleton from rw_boss_boss_true_boss_gatekeeper_phase_1.
nar_battle_rw_boss_boss_true_boss_hidden_commander_phase_1	battle_reward	rw_boss_boss_true_boss_hidden_commander_phase_1	boss_true	true_route	ending_true	ending_true	ending_hint	ending_bridge	true_route	boss	old_case,military_gate,lightness_encounter,boss_prepare,true_boss_hint	old_case_progress,high_military_merit,realm_10_candidate,true_route_candidate,lightness_cap_3	old_case,old_case_progress,true_route_candidate	military_gate,high_military_merit	clean_reputation_shift	lightness_encounter,lightness_cap_3,cap_3	none	10	2-3	old_case_progress,true_route_candidate	realm_9_or_10,realm_10_candidate,clean_reputation_high,lightness_3,key_evidence	old_case_failed	preview.battle.rw_boss_boss_true_boss_hidden_commander_phase_1	result.battle.rw_boss_boss_true_boss_hidden_commander_phase_1	2	short_choice	ending_bridge_mark	false	none	0		rw_boss_boss_true_boss_hidden_commander_phase_1	v0.5c battle skeleton from rw_boss_boss_true_boss_hidden_commander_phase_1.
nar_battle_rw_boss_boss_true_boss_hidden_commander_phase_2	battle_reward	rw_boss_boss_true_boss_hidden_commander_phase_2	boss_true	true_route	ending_true	ending_true	ending_hint	ending_bridge	true_route	boss	old_case,military_gate,lightness_encounter,boss_prepare,true_boss_hint	old_case_progress,high_military_merit,realm_10_candidate,true_route_candidate,lightness_cap_3	old_case,old_case_progress,true_route_candidate	military_gate,high_military_merit	clean_reputation_shift	lightness_encounter,lightness_cap_3,cap_3	none	10	2-3	old_case_progress,true_route_candidate	realm_9_or_10,realm_10_candidate,clean_reputation_high,lightness_3,key_evidence	old_case_failed	preview.battle.rw_boss_boss_true_boss_hidden_commander_phase_2	result.battle.rw_boss_boss_true_boss_hidden_commander_phase_2	2	short_choice	ending_bridge_mark	false	none	0		rw_boss_boss_true_boss_hidden_commander_phase_2	v0.5c battle skeleton from rw_boss_boss_true_boss_hidden_commander_phase_2.
nar_battle_rw_exam_exam_exam_capital_basic_weapon	battle_reward	rw_exam_exam_exam_capital_basic_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan	wuzhuangyuan	battle_hook	pressure	wuzhuangyuan	exam	wuzhuangyuan_offer	none	none	none	clean_reputation_shift	none	wuzhuangyuan_offer	10	2-4	martial_realm_10,high_military_merit	clean_reputation_high	low_military_merit	preview.battle.rw_exam_exam_exam_capital_basic_weapon	result.battle.rw_exam_exam_exam_capital_basic_weapon	1	single_continue	battle_outcome_mark	false	none	0		rw_exam_exam_exam_capital_basic_weapon	v0.5c battle skeleton from rw_exam_exam_exam_capital_basic_weapon.
nar_battle_rw_exam_exam_exam_capital_duel_chain	battle_reward	rw_exam_exam_exam_capital_duel_chain	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan	wuzhuangyuan	battle_hook	pressure	wuzhuangyuan	exam	wuzhuangyuan_offer	none	none	none	clean_reputation_shift	none	wuzhuangyuan_offer	10	2-4	martial_realm_10,high_military_merit	clean_reputation_high	low_military_merit	preview.battle.rw_exam_exam_exam_capital_duel_chain	result.battle.rw_exam_exam_exam_capital_duel_chain	1	single_continue	battle_outcome_mark	false	none	0		rw_exam_exam_exam_capital_duel_chain	v0.5c battle skeleton from rw_exam_exam_exam_capital_duel_chain.
nar_battle_rw_exam_exam_exam_capital_footwork	battle_reward	rw_exam_exam_exam_capital_footwork	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan	wuzhuangyuan	battle_hook	choice	wuzhuangyuan	exam	military_gate,lightness_encounter,wuzhuangyuan_offer	high_military_merit,lightness_cap_3	none	military_gate,high_military_merit	clean_reputation_shift	lightness_encounter,lightness_cap_3,cap_3	wuzhuangyuan_offer	10	2-4	martial_realm_10,high_military_merit	clean_reputation_high,lightness_3	low_military_merit	preview.battle.rw_exam_exam_exam_capital_footwork	result.battle.rw_exam_exam_exam_capital_footwork	1	single_continue	battle_outcome_mark	false	none	0		rw_exam_exam_exam_capital_footwork	v0.5c battle skeleton from rw_exam_exam_exam_capital_footwork.
nar_battle_rw_exam_exam_exam_capital_mixed_weapon	battle_reward	rw_exam_exam_exam_capital_mixed_weapon	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan	wuzhuangyuan	battle_hook	pressure	wuzhuangyuan	exam	military_gate,wuzhuangyuan_offer	high_military_merit,lightness_cap_3	none	military_gate,high_military_merit	clean_reputation_shift	lightness_cap_3,cap_3	wuzhuangyuan_offer	10	2-4	martial_realm_10,high_military_merit	clean_reputation_high,lightness_3	low_military_merit	preview.battle.rw_exam_exam_exam_capital_mixed_weapon	result.battle.rw_exam_exam_exam_capital_mixed_weapon	1	single_continue	battle_outcome_mark	false	none	0		rw_exam_exam_exam_capital_mixed_weapon	v0.5c battle skeleton from rw_exam_exam_exam_capital_mixed_weapon.
nar_battle_rw_exam_exam_exam_imperial_final_examiner	battle_reward	rw_exam_exam_exam_imperial_final_examiner	wuzhuangyuan_exam	wuzhuangyuan	wuzhuangyuan	wuzhuangyuan	route_offer	route_unlock	wuzhuangyuan	exam	military_gate,lightness_encounter,wuzhuangyuan_offer,route_offer	high_military_merit,lightness_cap_4,lightness_cap_3	none	military_gate,high_military_merit	clean_reputation_shift	lightness_encounter,lightness_cap_4,lightness_cap_3,cap_4	wuzhuangyuan_offer	10	2-4	martial_realm_10,high_military_merit	clean_reputation_high,lightness_4	low_military_merit	preview.battle.rw_exam_exam_exam_imperial_final_examiner	result.battle.rw_exam_exam_exam_imperial_final_examiner	2	short_choice	route_offer_mark	false	none	0		rw_exam_exam_exam_imperial_final_examiner	v0.5c battle skeleton from rw_exam_exam_exam_imperial_final_examiner.
nar_route_true_hint_01	route_hint	true_route_hint_01	route_curve	true_route	big_map_late	true_after_boss_1	ending_hint	foreshadow	true_route	route	old_case,true_boss_hint	old_case_progress,true_route_candidate	old_case,old_case_progress	none	none	none	none	10	2	old_case_progress,key_evidence,true_route_candidate	realm_9_or_10	old_case_failed	preview.route.true_route_hint_01	result.route.true_route_hint_01	1	single_continue	route_hint_mark	false	none	0			True route foreshadow skeleton; no full text in v0.5c.
nar_route_wuzhuangyuan_hint_01	wuzhuangyuan_offer	wuzhuangyuan_offer_hint_01	route_curve	wuzhuangyuan	big_map_late	wuzhuangyuan_before_exam	route_offer	route_unlock	wuzhuangyuan	route	wuzhuangyuan_offer,military_gate	high_military_merit,realm_10_candidate,wuzhuangyuan_candidate	none	high_military_merit	none	none	wuzhuangyuan_offer,wuzhuangyuan_candidate	10	3	martial_realm_10,high_military_merit	clean_reputation_high	low_military_merit	preview.route.wuzhuangyuan_offer_hint_01	result.route.wuzhuangyuan_offer_hint_01	2	short_choice	route_offer_mark	false	none	0	op_wuzhuangyuan_offer_01		Wuzhuangyuan offer skeleton; keeps institution-route framing.
nar_route_normal_ending_hint_01	route_hint	normal_ending_hint_01	route_curve	normal	boss_prepare	normal_after_boss	ending_hint	ending_bridge	normal	route	boss_prepare	none	none	none	none	none	none	9	2	none	clean_reputation_high	none	preview.route.normal_ending_hint_01	result.route.normal_ending_hint_01	1	single_continue	ending_bridge_mark	false	none	0	op_boss_prepare_01		Normal ending bridge skeleton; allows partial closure.
nar_boss_prepare_01	boss_prepare	boss_prepare_hint_01	route_curve	common	boss_prepare	elite_after_big_map	boss_prepare	preparation	common	route	boss_prepare,elite_pressure	none	none	none	none	none	none	10	2	none	realm_9_or_10	none	preview.route.boss_prepare_hint_01	result.route.boss_prepare_hint_01	1	single_continue	boss_preparation_mark	false	none	0	op_boss_prepare_01		Boss preparation hint skeleton for late-stage pacing.
